Industry,Sector,Firm,Number of Reviews,Overall employer rating,Culture & values,Diversity & Inclusion,Work/Life balance,Senior Management,Compensation & Benefits ,Career Opportunities ,Female / Male
"Insurance: Life, Health (stock)",Financials,Pacific Life,428,3.80,3.80,3.60,3.90,3.40,4.20,3.20,1
Securities and Asset Management,Financials,Charles Schwab,3300,3.90,4.10,4.10,3.90,3.50,3.70,3.60,1
Diversified Financials,Financials,Ally Financial,1200,4.00,4.20,4.30,4.00,3.50,4.00,3.60,1
"Insurance: Life, Health (stock)",Financials,Mutual of Omaha Insurance,691,4.00,4.10,4.20,4.10,4.00,3.90,3.90,1
Health Care: Pharmacy and Other Services,Health Care,CVS Health,22000,3.10,2.90,3.60,2.80,2.70,3.00,3.00,0
Health Care: Insurance and Managed Care,Health Care,UnitedHealth Group,12000,3.50,3.50,3.80,3.50,3.00,3.40,3.40,1
Wholesalers: Health Care,Health Care,McKesson,3800,3.80,3.80,4.00,3.60,3.40,3.80,3.60,1
Wholesalers: Health Care,Health Care,AmerisourceBergen,1200,3.40,3.40,3.80,3.30,3.00,3.80,3.30,1
Health Care: Pharmacy and Other Services,Health Care,Cigna,3300,3.80,3.70,4.00,3.80,3.40,3.70,3.50,1
Wholesalers: Health Care,Health Care,Cardinal Health,2700,3.60,3.60,4.00,3.40,3.20,3.60,3.40,1
Health Care: Insurance and Managed Care,Health Care,Anthem,2800,3.60,3.40,3.80,3.40,3.00,3.80,3.40,0
Pharmaceuticals,Health Care,Johnson & Johnson,9000,4.30,4.30,4.30,4.10,3.90,4.10,3.90,1
Health Care: Insurance and Managed Care,Health Care,Centene,2200,3.50,3.40,3.90,3.40,3.00,3.90,3.50,1
Health Care: Insurance and Managed Care,Health Care,Humana,4200,4.10,4.10,4.30,3.90,3.60,4.10,3.80,1
Pharmaceuticals,Health Care,Pfizer,5300,4.30,4.10,4.10,3.90,3.70,4.20,3.80,1
Health Care: Medical Facilities,Health Care,HCA Healthcare,3000,3.60,3.60,3.80,3.40,3.20,3.50,3.60,1
Pharmaceuticals,Health Care,Merck,4500,4.20,4.10,4.30,3.90,3.70,4.10,3.80,1
Pharmaceuticals,Health Care,AbbVie,2100,4.00,3.80,3.90,3.60,3.50,4.10,3.70,1
Medical Products and Equipment,Health Care,Abbott Laboratories,5200,3.90,3.60,3.80,3.30,3.20,4.00,3.60,1
Pharmaceuticals,Health Care,Bristol-Myers Squibb,2600,4.10,4.10,4.10,3.90,3.60,4.10,3.70,1
Pharmaceuticals,Health Care,Amgen,2700,4.10,3.90,4.10,3.70,3.60,4.10,3.70,1
Pharmaceuticals,Health Care,Gilead Sciences,1200,3.70,3.50,3.60,3.10,3.20,4.10,3.40,1
Pharmaceuticals,Health Care,Eli Lilly,2800,4.20,4.10,4.10,4.00,3.70,4.00,3.70,1
Medical Products and Equipment,Health Care,Danaher,483,4.40,4.30,4.70,3.80,3.90,4.20,4.30,1
Health Care: Medical Facilities,Health Care,Tenet Healthcare,890,3.20,3.00,3.50,3.10,2.60,3.30,3.20,1
Medical Products and Equipment,Health Care,BD,2900,3.80,3.60,4.00,3.50,3.20,3.80,3.50,1
Health Care: Insurance and Managed Care,Health Care,Molina Healthcare,1400,3.40,3.50,3.90,3.40,3.00,3.50,3.30,1
Medical Products and Equipment,Health Care,Stryker,3500,4.30,4.20,4.10,3.70,3.80,4.10,4.10,1
Pharmaceuticals,Health Care,Biogen,1300,4.30,4.20,4.50,4.00,3.70,4.40,3.90,1
Health Care: Medical Facilities,Health Care,DaVita,3800,3.50,3.70,3.90,3.20,3.10,3.20,3.50,1
Health Care: Medical Facilities,Health Care,Community Health Systems,1100,3.20,2.80,3.30,3.00,2.60,3.10,3.00,1
Health Care: Pharmacy and Other Services,Health Care,Laboratory Corp. of America (Labcorp),2500,3.40,3.00,3.70,3.10,2.80,3.30,3.20,1
Health Care: Medical Facilities,Health Care,Universal Health Services,664,3.40,3.10,3.60,2.90,2.90,3.40,3.60,1
Medical Products and Equipment,Health Care,Baxter International,2500,3.70,3.50,4.00,3.50,3.10,3.80,3.20,1
Health Care: Pharmacy and Other Services,Health Care,IQVIA Holdings,6700,3.70,3.70,3.90,3.50,3.40,3.50,3.70,1
Medical Products and Equipment,Health Care,Boston Scientific,2700,4.40,4.40,4.40,4.10,4.20,4.10,4.20,1
Soaps and Cosmetics,Household Products,Procter & Gamble,10000,4.20,4.30,4.40,3.40,3.90,4.20,4.00,1
Soaps and Cosmetics,Household Products,Kimberly-Clark,2500,4.00,4.00,4.00,3.70,3.50,3.90,3.50,1
Soaps and Cosmetics,Household Products,Colgate-Palmolive,2100,3.90,3.80,3.80,3.30,3.30,3.80,3.60,1
Soaps and Cosmetics,Household Products,Estée Lauder,2500,4.10,4.20,4.00,3.70,3.60,3.90,3.80,1
"Home Equipment, Furnishings",Household Products,Stanley Black & Decker,1700,3.70,3.40,3.80,3.40,3.20,3.50,3.50,1
Industrial Machinery,Industrials,General Electric,14000,3.70,3.60,3.80,3.60,3.20,3.60,3.40,1
Construction and Farm Machinery,Industrials,Caterpillar,5100,3.90,3.60,3.80,3.60,3.20,4.00,3.40,1
Construction and Farm Machinery,Industrials,Deere,3600,3.90,3.80,3.60,3.70,3.40,4.00,3.60,1
Electronics,Industrials,Honeywell International,12000,3.50,3.20,3.80,3.20,3.00,3.50,3.60,1
Construction and Farm Machinery,Industrials,Paccar,642,3.20,3.00,2.80,3.50,2.60,3.20,3.10,1
Industrial Machinery,Industrials,Cummins,5000,4.00,4.00,4.30,4.00,3.40,3.70,3.60,1
"Home Equipment, Furnishings",Industrials,Whirlpool,3900,3.90,3.80,3.90,3.70,3.40,3.90,3.70,1
Industrial Machinery,Industrials,Emerson Electric,4100,3.60,3.30,3.50,3.50,3.00,3.20,3.30,1
Industrial Machinery,Industrials,Parker-Hannifin,1900,3.50,3.20,3.20,3.20,2.80,3.50,3.20,1
Industrial Machinery,Industrials,Illinois Tool Works,805,3.90,3.90,4.30,3.70,3.50,3.90,3.80,1
"Electronics, Electrical Equip.",Industrials,Corning,1300,3.70,3.50,3.80,3.20,3.30,3.90,3.60,1
Construction and Farm Machinery,Industrials,Navistar International,1000,3.60,3.20,3.80,3.60,3.10,3.60,3.30,1
Entertainment,Media,Walt Disney,8000,4.10,4.10,4.10,3.50,3.40,3.80,3.70,1
Entertainment,Media,ViacomCBS,2500,3.70,3.70,3.90,3.70,3.20,3.50,3.30,1
Entertainment,Media,Netflix,1400,4.30,4.00,4.20,3.30,3.60,4.60,3.70,1
Entertainment,Media,Live Nation Entertainment,1300,4.00,4.20,4.20,3.70,3.60,3.60,3.60,1
Entertainment,Media,Fox,31,3.70,3.90,4.10,3.80,3.70,4.00,3.60,1
Entertainment,Media,Discovery,1500,3.90,3.60,4.00,3.70,3.30,4.10,3.30,1
General Merchandisers,Retailing,Walmart,67000,3.30,3.00,3.60,3.00,2.80,3.30,3.30,1
Internet Services and Retailing,Retailing,Amazon,72000,3.70,3.50,4.00,3.20,3.20,3.80,3.70,1
General Merchandisers,Retailing,Costco Wholesale,8700,4.20,4.00,4.20,3.70,3.70,4.40,4.00,1
Specialty Retailers,Retailing,Home Depot,28000,3.90,3.90,4.10,3.60,3.50,3.60,3.60,1
General Merchandisers,Retailing,Target,46000,3.70,3.70,4.10,3.40,3.20,3.60,3.30,1
Specialty Retailers,Retailing,Lowe’s,33,3.30,2.80,5.00,3.60,2.90,2.50,2.60,1
