firmhash,firm,number_of_words,number_of_unique_words,n_sentence,ambiquity_score,gunning_fog_score
56358397,Microsoft,36788,2826,1110,0.03411438513,14
25821083,Verizon Communications,855,310,12,0.01520467836,31.56
69943097,JPMorgan Chase,2158,604,55,0.03660797034,18.5
26299420,Cardinal Health,4519,1152,29,0.02611197168,64.33
65966087,Chevron,3071,814,52,0.03972647346,26.28
46807785,Costco Wholesale,4568,954,106,0.03327495622,18.97
82902726,Cigna,3556,1005,39,0.03402699663,38.58
76661259,Alphabet,6348,1748,156,0.0220541903,19.35
20885145,AmerisourceBergen,3851,809,94,0.03427681122,18.66
10087241,AT&T,8205,1416,151,0.03241925655,23.01
23217707,McKesson,2376,672,65,0.03577441077,17.61
27610884,UnitedHealth Group,2260,709,48,0.05,21.85
51333781,Berkshire Hathaway,6099,1279,134,0.03066076406,20.34
42703456,CVS Health,3091,849,59,0.03364606923,23.66
24788477,Apple,3604,897,73,0.03940066593,21.94
18843081,Exxon Mobil,3691,867,67,0.02844757518,24.27
18101757,Amazon,3400,823,61,0.02794117647,23.81
7268382,Walmart,6129,1133,122,0.03426333823,21.06
