"firmhash","firm","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index"
91650972,"USAA",226,4610,1025,0.0310195228,13.4174265256
10238564,"ConocoPhillips",208,6200,1275,0.034516129,18.7230769231
99007911,"Honeywell International",293,7166,1172,0.0348869662,16.1239901354
95830263,"World Fuel Services",198,6039,1164,0.0455373406,18.7441298228
47744325,"Massachusetts Mutual Life",95,2657,700,0.041023711,16.8930515223
10940099,"Progressive",26,478,240,0.0146443515,12.9605407145
71942107,"Deere",165,3695,931,0.0300405954,15.4961413868
59705430,"Oracle",159,5305,1045,0.0326107446,19.9811617141
31281210,"TIAA",43,798,392,0.0162907268,15.5435565658
24984086,"TJX",59,1743,529,0.0401606426,17.5541838054
25243892,"Liberty Mutual Insurance Group",64,2061,666,0.0276564774,21.2461214216
50025160,"United Airlines Holdings",1957,54894,1481,0.038510584,17.4545918134
60987513,"Best Buy",139,2951,784,0.0399864453,14.8628081202
95760748,"Nationwide",167,3763,833,0.0393303216,15.2741356511
62824499,"New York Life Insurance",25,332,186,0.015060241,13.0228433735
77223592,"Allstate",180,4676,1035,0.0286569718,17.6965003327
7684579,"Charter Communications",10,113,71,0.0088495575,12.6615929204
73347725,"American Airlines Group",187,6070,1155,0.0382207578,18.8488666097
11663411,"Merck",137,3911,815,0.0439785221,17.4736955658
33131762,"Delta Air Lines",266,11935,1750,0.0274821952,24.7776993804
39511968,"American Express",129,3692,865,0.0303358613,17.3202180285
61173779,"American International Group",163,5118,1083,0.0293083236,19.1323892337
17081064,"HCA Healthcare",500,12355,2578,0.0254957507,16.5825026305
89802512,"Pfizer",151,4158,988,0.0351130351,18.1333766552
93968555,"Cisco Systems",136,3666,947,0.0286415712,17.6999743269
81280069,"Caterpillar",613,15251,3090,0.0245885516,18.1688789749
92536935,"Morgan Stanley",120,2693,775,0.0211659859,16.7301014977
48599151,"Goldman Sachs Group",43,1596,464,0.0250626566,19.6836043597
58723819,"Energy Transfer",9,188,102,0.0106382979,17.0789598109
94341056,"HP",200,5760,1280,0.0321180556,18.3116666667
17368181,"Prudential Financial (U.S.)",68,1781,559,0.0224592925,18.2473858044
92380288,"Humana",134,1971,518,0.033992897,11.8095080155
48056767,"Procter & Gamble",291,8214,1629,0.0366447529,16.2529812063
55529641,"Walt Disney",111,4222,789,0.0236854571,22.6326995873
32700926,"MetLife",90,2347,694,0.0298253089,17.1119803058
31132966,"FedEx",156,3653,844,0.0405146455,16.0680080299
79142021,"Facebook",155,4018,813,0.0363364858,14.6995449509
56495473,"Intel",205,5424,1164,0.0381637168,17.0583408878
40837856,"Lowe’s",210,5323,1079,0.042081533,17.7062089942
90714086,"UPS",167,5648,1007,0.033286119,20.4474071687
3894558,"Centene",67,1335,445,0.0374531835,13.6031080552
18282660,"Freddie Mac",89,2519,635,0.0262008734,18.8481446624
73313709,"IBM",76,1994,566,0.0411233701,17.9771841841
69858041,"Target",200,5503,1149,0.0278030165,17.3225546066
55229784,"State Farm Insurance",84,2051,674,0.0268161872,16.4170810987
16922709,"Johnson & Johnson",142,4686,962,0.0296628254,20.5324797268
83192852,"Dell Technologies",61,1061,384,0.027332705,15.1006381236
84482324,"General Electric",222,4157,922,0.0242963676,14.2064720963
90987102,"Valero Energy",128,2905,797,0.0289156627,15.6874193201
