"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","stock_turnover_last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","pp_n_sentence","pp_number_of_words","pp_number_of_unique_words","pp_ambiquity_score","pp_gunning_fog_index","pp_privacy_policy_exists","pp_existence_of_a_transparency_report","pp_contact_option","pp_legislation_complied_with","pp_third_party_sharing","pp_existence_of_a_data_protection_officer","pp_iso_type","pp_privacy_policy_url","n_data_breaches","csr_index_last_available_year","csr_index","number_of_reviews","overall_employer_rating","culture_values","diversity_inclusion","work_life_balance","senior_management","compensation_benefits","career_opportunities","female_male","number_of_shareholder_proposals","share_shortterm_investors","share_longterm_investors","dummy_pp_legislation_complied_with_standard","dummy_pp_legislation_complied_with_gdpr","dummy_pp_legislation_complied_with_ccpa","dummy_sector_Technology","dummy_sector_Household Products","dummy_sector_Business Services","dummy_sector_Media","dummy_sector_Financials","dummy_sector_Health Care","dummy_sector_Transportation","dummy_sector_Retailing","dummy_sector_Energy","dummy_sector_Industrials","dummy_sector_Telecommunications","pp_ambiquity_score_standardized","pp_ambiquity_score_standardized_reverse","pp_gunning_fog_index_standardized","pp_gunning_fog_index_standardized_reverse","composite_relational_ig_practises","dummy_pp_legislation_complied_with_standard_reverse","pp_third_party_sharing_reverse","composite_formal_ig_practises","young_firm","log_n_employees","logmin_n_data_breaches","sqrt_n_data_breaches","log_age_in_years","sqrt_age_in_years"
3572700,"T. Rowe Price","https://www.troweprice.com",504,"Securities and Asset Management","Financials",6207.0,2373.0,36126.0,7365,5.99,6.91,-0.1331403762662807,2020,"1937-01-01","",84.6,0.1889,217.0,5285.0,1141.0,0.032166509,16.9245277261,1,0,0,"standard",1,0,0,"https://www.troweprice.com/PrivacyNoticeUSCAN",0,2018,0.0443576432,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676724034889843,0.33232759651101573,0.487355947317428,0.512644052682572,0.21124291229839692,0,0,0.0,0,8.90449432889673,0.0,0.0,4.437934266612178,9.197825830053535
59882969,"Cerner","https://www.cerner.com",498,"Health Care: Pharmacy and Other Services","Health Care",5692.6,529.5,19164.4,27400,6.5,6.5,0.0,2020,"1986-10-06","",34.7,0.0726,70.0,1650.0,517.0,0.0327272727,16.4103896104,1,0,0,"standard",1,1,0,"https://www.cerner.com/privacy",0,2018,0.0235369569,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6793120392159564,0.3206879607840436,0.45546835519345835,0.5445316448065416,0.2163049013976463,0,0,0.25,1,10.218298292376161,0.0,0.0,3.5467396869528134,5.890670590009257
37755086,"Fortune Brands Home & Security","https://www.fbhs.com",494,"Home Equipment, Furnishings","Household Products",5902.0,494.0,12761.0,24700,6.48,6.94,-0.0662824207492795,2020,"1988-06-09","",33.0,0.0856,120.0,1536.0,402.0,0.0481770833,9.416875,1,0,0,"standard",1,0,0,"https://www.fbhs.com/privacy-policy",0,2018,0.0010095481,"","","","","","","","","","","","",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.021720429101976392,0.9782795708980236,0.2445698927245059,0,0,0.0,1,10.114558522616068,0.0,0.0,3.4965075614664802,5.744562646538029
92978594,"Robert Half International","https://www.roberthalf.com",482,"Diversified Outsourcing Services","Business Services",5100.0,306.0,7602.0,16000,5.63,6.24,-0.0977564102564103,2020,"1979-10-18","",41.7,0.0806,156.0,4131.0,958.0,0.0351004599,16.8087201832,1,0,0,"standard",1,1,1,"https://www.roberthalf.com/privacy-policy",0,2018,0.0113944591,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285717086986875,0.2714282913013125,0.48017339543086623,0.5198266045691338,0.19781372396761157,0,0,0.5,0,9.680344001221918,0.0,0.0,3.730501128804756,6.457553716385176
59605839,"Activision Blizzard","https://www.activisionblizzard.com",463,"Entertainment","Media",7660.0,2213.0,73515.0,9080,6.42,7.09,-0.0944992947813822,2020,"2000-02-17","",21.3,0.0877,262.0,7264.0,1204.0,0.0331773128,17.4997679658,1,0,1,"standard",1,1,0,"https://www.activisionblizzard.com/legal/privacy-policy",0,2018,0.0062209396,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6886534121089061,0.31134658789109393,0.5230331818517205,0.47696681814827946,0.4470783515098433,0,0,0.25,1,9.11382947159534,0.0,0.0,3.0587070727153796,4.61519230368573
28480392,"Booz Allen Hamilton Holding","https://www.boozallen.com",450,"Information Technology Services","Technology",7849.0,549.0,13101.0,27381,6.63,6.34,0.0457413249211356,2019,"2008-05-12","",13.0,0.091,103.0,3427.0,804.0,0.0388094543,20.3352917013,1,0,1,"standard",1,0,1,"https://www.boozallen.com/tools/footer-navigation/privacy-policy.html",0,2018,0.0266287079,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055584033249269,0.1944415966750731,0.6988964792311696,0.3011035207688304,0.37388627936097585,0,0,0.25,1,10.217604621184988,0.0,0.0,2.5649493574615367,3.605551275463989
81900002,"Intuit","https://www.intuit.com",445,"Computer Software","Technology",7837.0,1967.0,102329.0,10600,6.57,6.79,-0.0324005891016199,2020,"1993-02-01","",28.4,0.1239,404.0,8342.0,1240.0,0.0384799808,15.192995008,1,0,1,"standard",1,1,0,"https://www.intuit.com/privacy/statement/",5,2018,0.0588921508,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987196020228979,0.20128039797710207,0.3799637751013948,0.6200362248986052,0.45532915571892685,0,0,0.25,1,9.268609280100158,1.791759469228055,2.23606797749979,3.3463891451671604,5.329165037789691
36469379,"Northern Trust","https://www.northerntrust.com",440,"Superregional Banks","Financials",6301.0,1209.0,19730.0,20700,6.98,6.96,0.0028735632183908,2020,"1971-12-01","",49.6,0.0075,75.0,690.0,245.0,0.0289855072,9.8249275362,1,0,1,"standard",1,1,1,"https://cdn.northerntrust.com/pws/nt/documents/legal/us-privacy-notice.pdf",2,2018,0.0365091805,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601645122837895,0.39835487716210505,0.047028439619308644,0.9529715603806913,0.5878316093856991,0,0,0.5,0,9.93788897925346,1.0986122886681098,1.4142135623730951,3.903990833730882,7.042726744663604
78132452,"Quest Diagnostics","https://www.questdiagnostics.com",410,"Health Care: Pharmacy and Other Services","Health Care",8361.0,1105.0,17164.0,47000,6.58,6.59,-0.0015174506828527,2020,"1996-09-20","",24.7,0.1245,105.0,2044.0,747.0,0.030332681,13.8140639269,1,0,1,"standard",1,0,0,"https://www.questdiagnostics.com/home/privacy/privacy-notice/",3,2018,0.0388348329,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.629608081732918,0.37039191826708195,0.29444046815630476,0.7055595318436952,0.5189878625276942,0,0,0.0,1,10.757902880692196,1.3862943611198906,1.7320508075688772,3.2068032436339315,4.969909455915671
58511130,"Motorola Solutions","https://www.motorolasolutions.com",403,"Network and Other Communications Equipment","Technology",7517.0,780.0,29314.0,17000,6.28,5.96,0.0536912751677852,2020,"1973-03-09","",48.3,0.096,259.0,8095.0,1496.0,0.0317479926,19.6767297607,1,0,1,"standard",1,1,0,"https://www.motorolasolutions.com/en_us/about/privacy-policy.html",1,2018,0.0775342091,"","","","","","","","","","","","",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6589853603694601,0.3410146396305399,0.6580515118790967,0.3419484881209033,0.4207407819378608,0,0,0.25,0,9.740968623038354,0.6931471805599453,1.0,3.877431560658527,6.9498201415576215
74239827,"Raymond James Financial","https://www.raymondjames.com",396,"Securities and Asset Management","Financials",8368.0,862.0,14236.0,14800,6.35,6.04,0.0513245033112582,2020,"1994-05-13","",27.1,0.0198,109.0,2422.0,865.0,0.0218827415,19.0449685225,1,0,0,"standard",1,0,0,"https://www.raymondjames.com/privacy-security-and-account-protection/privacy-notice",0,2018,0.0075180375,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454214742800754,0.545785257199246,0.6188687629867535,0.38113123701324647,0.2317291235531231,0,0,0.0,1,9.602382459752207,0.0,0.0,3.299533727885655,5.205766033928148
77729631,"Ryder System","https://www.ryder.com",354,"Trucking, Transportation, Logistics","Transportation",8484.0,202.0,3748.0,39900,6.52,5.97,0.0921273031825795,2020,"1955-03-22","",66.3,0.0269,101.0,3099.0,740.0,0.0338818974,18.9334802987,1,0,1,"standard",1,0,0,"https://ryder.com/privacy-policy",0,2018,0.0196021518,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7032783032757818,0.2967216967242182,0.6119541015395665,0.38804589846043347,0.4211918987961629,0,0,0.0,0,10.594131602877955,0.0,0.0,4.194189897191817,8.142481194328912
84510021,"Wayfair","https://www.wayfair.com",348,"Internet Services and Retailing","Retailing",13008.0,170.0,29247.0,15900,6.73,7.39,-0.0893098782138023,2020,"2014-08-08","",6.8,0.1098,969.0,29733.0,2537.0,0.0287222951,17.6212777934,1,0,0,"standard",1,1,0,"https://terms.wayfair.io/en-US?csnid=&csnutid=23e17d3a-60a1-2f8b-9868-395b3a798602&txid=I%2BF9OmChL6cRWjcz7YWvAg%3D%3D#privacy",0,2018,0.0058441558,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5961816932989797,0.40381830670102026,0.5305693977113195,0.4694306022886805,0.2183122272474252,0,0,0.25,1,9.674074388208323,0.0,0.0,1.916922612182061,2.6076809620810595
92983493,"J.B. Hunt Transport Services","https://www.jbhunt.com",346,"Trucking, Truck Leasing","Transportation",9165.3,516.3,9800.3,29056,6.04,5.89,0.0254668930390493,2020,"1961-09-10","",59.8,0.083,126.0,2920.0,804.0,0.0308219178,15.7218960644,1,0,0,"standard",1,0,0,"https://www.jbhunt.com/privacy-policy.html",0,2018,-0.0004810005,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6397630509939982,0.3602369490060018,0.41276698623359714,0.5872330137664028,0.23686749069310115,0,0,0.0,0,10.27698028140102,0.0,0.0,4.091005660956586,7.733045971672482
31030789,"Fiserv","https://www.fiserv.com",311,"Financial Data Services","Business Services",15065.0,905.0,73172.0,44000,6.7,6.55,0.0229007633587786,2020,"1992-02-19","",29.3,0.0162,229.0,6775.0,1305.0,0.0383763838,18.7181939767,1,0,1,"standard",1,1,1,"https://www.fiserv.com/en/about-fiserv/privacy-notice.html",0,2018,0.0231294886,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965692642916803,0.2034307357083197,0.5986017313958767,0.4013982686041233,0.4012072510781107,0,0,0.5,1,10.691944912900398,0.0,0.0,3.3775875160230218,5.412947441089743
75178419,"Liberty Media","https://www.libertymedia.com",306,"Entertainment","Media",9273.0,561.0,13877.0,6753,6.06,6.22,-0.0257234726688103,2020,"2010-01-01","",11.4,0.0355,15.0,335.0,172.0,0.0447761194,16.9333333333,1,0,0,"standard",1,0,0,"http://www.libertymedia.com/privacy.html",0,2018,0.0204623953,"","","","","","","","","","","","",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9294070195403465,0.07059298045965345,0.48790208385588546,0.5120979161441146,0.145672724150942,0,0,0.0,1,8.817742129574842,0.0,0.0,2.4336133554004498,3.3763886032268267
