"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index","n_data_breaches","last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","number_of_reviews","rating_overall_employer","values_culture","diversity_inclusion","work_balance_life","management_senior","compensation_benefits","opportunities_career","female_male","number_of_shareholder_proposals","privacy_exists_policy","of_a_existence_report_transparency","option_contact","legislation_complied_with","third_party_sharing","protection_of_data_a_existence_officer","type_iso","privacy_url_policy"
46177440,"Ally Financial","https://www.ally.com",273,"Diversified Financials","Financials",11618.0,1715.0,5402.5,8700,"","","",95.0,1578.0,481.0,0.0266159696,18.8875565339,0,2020.0,"2008-12-24",21.86,12.3,0.005986,1200,4.0,4.2,4.3,4.0,3.5,4.0,3.6,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.ally.com/privacy/"
80542798,"Charles Schwab","https://www.schwab.com",271,"Securities and Asset Management","Financials",12190.0,3299.0,109983.0,32000,"7.13","7.53",-0.05312084993359898,59.0,1079.0,433.0,0.0240963855,20.2531597053,2,2020.0,"1983-01-11",35.19,38.4,0.007826,3300,3.9,4.1,4.1,3.9,3.5,3.7,3.6,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.schwab.com/legal/privacy"
19742213,"Vistra Energy","https://www.vistraenergy.com",270,"Energy","Energy",11809.0,928.0,7795.3,5475,"","","",37.0,782.0,304.0,0.0447570332,21.3952305246,0,2020.0,"2016-03-10",22.22,5.1,0.040448564,49,3.6,3.2,3.8,2.8,3.1,3.5,3.1,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.vistracorp.com/privacy-policy/"
36433727,"Pacific Life","https://www.pacificlife.com",269,"Insurance: Life, Health (stock)","Financials",11847.0,725.0,"",3815,"","","",57.0,1689.0,557.0,0.0307874482,25.7306659188,0,"","","","",-0.003519132,428,3.8,3.8,3.6,3.9,3.4,4.2,3.2,"1","",1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.pacificlife.com/home/privacy-and-other-policies/our-privacy-promise.html"
83890025,"AutoZone","https://www.autozone.com",268,"Specialty Retailers: Other","Retailing",11863.7,1617.2,19756.2,75840,"","","",1385.0,28495.0,3371.0,0.0231268644,20.808651844,0,2020.0,"1991-11-25",2.82,29.5,0.126532,3600,3.3,3.2,3.7,2.8,2.9,2.8,3.2,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.autozone.com/lp/termsAndConditions"
35646797,"CSX","https://www.csx.com",267,"Railroads","Transportation",11937.0,3331.0,44161.7,20908,"","","",48.0,997.0,411.0,0.0290872618,18.9803493815,0,2020.0,"1978-11-15",35.04,42.5,0.070659,946,2.5,1.9,2.5,1.9,1.9,3.6,2.4,"1",1.0,1,0.0,0.0,"standard ",1.0,1.0,0.0,"https://www.csx.com/index.cfm/about-the-site/privacy/"
20859101,"Unum Group","https://www.unum.com",266,"Insurance: Life, Health (stock)","Financials",11998.9,1100.3,3046.6,10300,"","","",105.0,2986.0,777.0,0.0311453449,25.025606481,0,2020.0,"1948-01-01",84.6,73.5,0.010463,1000,3.8,3.9,4.2,3.7,3.7,4.0,3.8,"1","",1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.unum.com/privacy/internet-privacy-notice"
60048308,"Bed Bath & Beyond","https://www.bedbathandbeyond.com",265,"Specialty Retailers: Other","Retailing",12028.8,137.2,534.5,62000,"","","",249.0,4804.0,880.0,0.0341382182,20.6231808165,4,2019.0,"1971-10-05",9.53,49.7,-0.005074,4400,3.1,3.1,3.5,3.0,2.8,2.7,2.6,"1","",1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.bedbathandbeyond.com/store/static/PrivacyPolicy"
35504039,"Group 1 Automotive","https://www.group1auto.com",264,"Automotive Retailing, Services","Retailing",12043.8,174.0,813.2,15296,"","","",51.0,1106.0,409.0,0.0316455696,20.2115803283,0,2020.0,"1995-12-20",7.39,25.4,0.061458,350,3.2,3.3,4.4,2.8,2.8,3.0,3.1,"1","",1,0.0,0.0,"standard",1.0,0.0,0.0,"https://www.group1auto.com/privacy.html"
28174171,"Expedia Group","https://www.expediagroup.com",263,"Internet Services and Retailing","Retailing",12067.0,565.0,7877.2,25400,"","","",60.0,1622.0,512.0,0.0357583231,22.5765885738,0,2020.0,"2005-04-18",14.84,16.0,-0.047592,4500,4.0,4.1,4.2,4.2,3.4,3.8,3.5,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.expediagroup.com/privacy-policy/"
3524436,"Murphy USA","https://www.murphyusa.com",262,"Specialty Retailers","Retailing",10083.0,373.0,3575.0,7250,"","","",473.0,13349.0,1861.0,0.0258446326,23.0349931431,3,2020.0,"2013-03-01",40.36,8.1,0.130143,53,3.8,3.5,3.7,3.2,3.5,3.3,3.6,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.murphyusa.com/About-Us/Terms-of-Use-and-Privacy-Policy/"
53206828,"CenterPoint Energy","https://www.centerpointenergy.com",260,"Utilities: Gas and Electric","Energy",12301.0,791.0,7765.4,14262,"","","",124.0,3306.0,824.0,0.0396249244,23.0299123783,0,2020.0,"2001-08-31",14.84,19.7,0.022065,7,3.0,3.4,"",3.6,3.0,3.6,2.9,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.centerpointenergy.com/en-us/corporate/legal/privacy-policy"
20520037,"Edison International","https://www.edisoninvestor.com",259,"Utilities: Gas and Electric","Energy",12347.0,1284.0,19867.6,12937,"","","",125.0,3133.0,863.0,0.0284072774,23.4823507182,1,2020.0,"1987-04-20",33.53,34.1,0.026933,31,3.3,2.6,1.0,3.4,2.8,3.6,2.9,"1",1.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.edison.com/home/privacy-notice.html"
87621488,"Sempra Energy","https://www.sempra.com",258,"Electric and Gas Utilities","Energy",11142.0,3953.0,35542.0,13969,"6.01","5.85",0.027350427350427375,122.0,3460.0,888.0,0.0303468208,25.055244954,0,2020.0,"1996-10-11",36.92,24.6,0.025805,188,3.6,3.6,4.3,3.6,3.3,4.0,3.4,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.sempra.com/privacy"
2296999,"Consolidated Edison","https://www.conedison.com",256,"Utilities: Gas and Electric","Energy",12574.0,1343.0,26034.5,14890,"","","",71.0,2062.0,585.0,0.0354025218,24.2260187702,0,2020.0,"1997-09-03",34.4,23.7,0.02547,825,4.1,3.9,4.2,3.9,3.6,4.0,4.0,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.coned.com/en/conedison-privacy-statement"
