"firmhash","firm","sector","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","sqrt_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications"
2257066,"Jones Lang LaSalle (JLL)","Financials",0.5053785771840799,0.5,0.031159,11.440354772135391,0.0686489968,1.0,4.919349550499537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18164447,"Emerson Electric","Industrials",0.3784983270982727,0.25,0.082209,11.332601910838946,0.0139365743,0.0,11.445523142259598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23104382,"Kimberly-Clark","Household Products",0.4562656664114182,0.25,0.137131,10.596634733096073,0.0582025254,1.0,9.648834126463155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67426216,"Tenet Healthcare","Health Care",0.4162400724800147,0.25,0.038883,11.523904969013236,0.0117203784,0.0,6.760177512462229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38270491,"NextEra Energy","Energy",0.4595344956371573,0.0,0.026214,9.602382459752208,0.0457042435,0.0,6.06630035524124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19452525,"Netflix","Media",0.6665405034504176,0.25,0.07824,9.148464968258097,0.0077922078,1.4142135623730951,4.878524367060187,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97306865,"Whirlpool","Industrials",0.4270584372755349,0.25,0.060347,11.26446410567173,0.0443507323,0.0,8.12403840463596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95680362,"Danaher","Health Care",0.4541346631496573,0.0,0.042533,11.002099841204238,0.0003781659,0.0,5.890670590009257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29577074,"Bank of New York Mellon","Financials",0.4865970952071559,0.5,0.00852,10.787255092704724,0.0697740956,0.0,3.7282703764614498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7282506,"Southern Company","Energy",0.4826553516439161,0.0,0.027081,10.23792199998891,0.0059262577,0.0,8.700574693662482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47147965,"PNC Financial Services Group","Financials",0.4942849599871743,0.25,0.017307,10.827805976097512,0.0656855915,1.0,7.224956747275377,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62258152,"Union Pacific","Transportation",0.4598590683776803,0.25,0.079369,10.340451327703663,0.0095628203,0.0,7.238784428341543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26738076,"Occidental Petroleum","Energy",0.290669103151397,0.25,-0.055639,9.574983485564092,0.0108197465,1.0,5.932958789676531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41405358,"Aflac","Financials",0.4603471386646163,0.25,0.017307,9.369819686521504,0.0567829361,2.23606797749979,8.160882305241266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99974471,"Southwest Airlines","Transportation",0.3975299160567337,0.5,-0.104182,10.942650570059175,0.0147007016,1.0,7.368853370776216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43863760,"Visa","Business Services",0.5080047595122726,0.25,0.112382,9.9281801651265,0.0173801507,0.0,3.794733192202055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53578149,"Penske Automotive Group","Retailing",0.5139120202652541,0.25,0.029353,10.203592144986466,-0.0037518038,0.0,5.522680508593631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56444265,"Amgen","Health Care",0.5749956258597491,0.5,0.095063,10.060491301345794,0.0714678255,0.0,5.882176467941097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28580986,"Qualcomm","Technology",0.4839582741161395,0.25,0.136758,10.621327345686446,0.0663542928,0.0,5.458937625582473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40232297,"Thermo Fisher Scientific","Technology",0.4430794013261619,0.5,0.077275,11.225243392518449,0.0241955682,0.0,7.797435475847171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
