"firmhash","firm","sector","reputation_score_2020","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","logmin_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications","young_firm"
44690539,"C.H. Robinson Worldwide","Transportation",6.36,0.36887789059808873,0.25,0.086004,9.608310798322087,0.0051739066,0.0,4.878524367060187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40335925,"Waste Management","Business Services",5.61,0.434114787961791,0.25,0.057542,10.712193073730345,0.0295878625,0.0,5.10881590977792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
45407176,"Nordstrom","Retailing",6.46,0.4556164186183962,0.25,-0.053307,11.225243392518447,0.0511170822,1.0986122886681098,8.648699324175862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
83800849,"American Electric Power","Energy",6.59,0.4293630205067216,0.25,0.02479,9.76468514965567,0.0285271986,0.0,10.709808588392232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16065958,"Colgate-Palmolive","Household Products",6.96,0.1543305605424544,0.0,0.153009,10.442900633154032,0.0462536697,0.0,9.904544411531507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
97338549,"Aramark","Business Services",5.71,0.40328222451039003,0.25,-0.017129,12.251643347072633,0.0185562522,0.6931471805599453,3.872983346207417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
74910338,"Dominion Energy","Energy",6.63,0.38277245738226706,0.0,0.022524,9.857443614034722,0.0281233744,0.6931471805599453,6.18869937870632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
52256752,"XPO Logistics","Transportation",6.69,0.1284957699385806,0.5,0.021866,11.512925464970229,-0.0056277056,0.6931471805599453,4.58257569495584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
63926746,"Cognizant Technology Solutions","Technology",6.04,0.3952555131433987,0.5,0.089994,12.58621994565405,0.0404692795,0.0,5.761944116355173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20127012,"Mastercard","Business Services",7.56,0.6673244951033677,0.5,0.162408,9.830916859701293,0.0333300161,0.0,7.44983221287567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
91013737,"Salesforce","Technology",7.53,0.4095669713906459,0.5,0.004683,10.90700130566835,0.0632009753,0.0,4.722287581247038,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49714782,"PayPal Holdings","Business Services",7.21,0.45965741275413685,0.5,0.035206,10.0519075576544,0.0217893218,0.0,2.5099800796022267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2257066,"Jones Lang LaSalle (JLL)","Financials",6.43,0.4918583241934381,0.5,0.031159,11.440354772135393,0.0686489968,0.6931471805599453,4.909175083453431,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18164447,"Emerson Electric","Industrials",5.94,0.3651296641028449,0.25,0.082209,11.332601910838946,0.0139365743,0.0,11.445523142259598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
23104382,"Kimberly-Clark","Household Products",6.8,0.45639394771012587,0.25,0.137131,10.596634733096073,0.0582025254,0.6931471805599453,9.648834126463155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
67426216,"Tenet Healthcare","Health Care",5.77,0.40228830179346603,0.25,0.038883,11.523904969013236,0.0117203784,0.0,6.752777206453653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38270491,"NextEra Energy","Energy",7.55,0.4473585295027326,0.0,0.026214,9.602382459752207,0.0457042435,0.0,6.06630035524124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19452525,"Netflix","Media",7.32,0.6538329005218863,0.25,0.07824,9.148464968258095,0.0077922078,1.0986122886681098,4.868264577855234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
97306865,"Whirlpool","Industrials",6.96,0.4117738134661984,0.25,0.060347,11.26446410567173,0.0443507323,0.0,8.117881497040962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
95680362,"Danaher","Health Care",6.23,0.4394971727453393,0.0,0.042533,11.002099841204238,0.0003781659,0.0,5.890670590009257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29577074,"Bank of New York Mellon","Financials",6.84,0.47415442728454754,0.5,0.00852,10.787255092704724,0.0697740956,0.0,3.7282703764614498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7282506,"Southern Company","Energy",6.31,0.47153960094084957,0.0,0.027081,10.23792199998891,0.0059262577,0.0,8.700574693662482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47147965,"PNC Financial Services Group","Financials",7.25,0.48196559748049994,0.25,0.017307,10.827805976097512,0.0656855915,0.6931471805599453,7.224956747275377,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
62258152,"Union Pacific","Transportation",6.67,0.4485319818055193,0.25,0.079369,10.340451327703663,0.0095628203,0.0,7.238784428341543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26738076,"Occidental Petroleum","Energy",7.33,0.2797979067344977,0.25,-0.055639,9.574983485564092,0.0108197465,0.6931471805599453,5.932958789676531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41405358,"Aflac","Financials",6.53,0.4499797302229424,0.25,0.017307,9.369819686521504,0.0567829361,1.791759469228055,8.154753215150045,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99974471,"Southwest Airlines","Transportation",5.29,0.38263898691976295,0.5,-0.104182,10.942650570059175,0.0147007016,0.6931471805599453,7.368853370776216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
