"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","include","ranklabel"
62258152,"Union Pacific","https://www.up.com",149,"Trucking, Transportation, Logistics","Transportation",19533.0,5349.0,147025.0,30960,6.67,6.03,True,"1-200"
26738076,"Occidental Petroleum","https://www.oxy.com",148,"Mining, Crude-Oil Production","Energy",19759.0,14858.0,21437.0,14400,7.33,6.57,True,"1-200"
64152277,"Lennar","https://www.lennar.com",147,"Homebuilders","Engineering & Construction",22489.0,2466.0,25222.0,9495,6.49,5.91,False,"1-200"
41405358,"Aflac","https://www.aflac.com",146,"Insurance: Life and Health","Financials",21837.0,4607.0,33058.0,11729,6.53,5.99,True,"1-200"
97738551,"Eli Lilly","https://www.lilly.com",145,"Pharmaceuticals","Health Care",22319.5,8318.4,132760.4,33625,"","",True,"1-200"
35502075,"International Paper","https://www.internationalpaper.com",144,"Packaging, Containers","Materials",20839.0,494.0,20044.0,51000,7.0,6.58,False,"1-200"
96382114,"Lumen Technologies","https://www.lumen.com",143,"Telecommunications","Telecommunications",22401.0,5269.0,10307.1,42500,"","",True,"1-200"
99368695,"Halliburton","https://www.halliburton.com",142,"Oil and Gas Equipment, Services","Energy",22408.0,1131.0,6027.4,55000,"","",True,"1-200"
99974471,"Southwest Airlines","https://www.southwest.com",141,"Airlines","Transportation",9048.0,3074.0,28467.0,56537,5.29,5.76,True,"1-200"
77644806,"Gilead Sciences","https://www.gilead.com",140,"Pharmaceuticals","Health Care",22449.0,5386.0,94124.0,11800,"","",True,"1-200"
85692180,"Nucor","https://www.nucor.com",139,"Metals","Materials",20140.0,721.0,16836.0,26800,6.67,7.17,False,"1-200"
83534384,"Broadcom","https://www.broadcom.com",138,"Semiconductors and Other Electronic Components","Technology",22597.0,2724.0,94790.5,19000,"","",True,"1-200"
43863760,"Visa","https://usa.visa.com",137,"Consumer Credit Card and Related Services","Business Services",21479.0,10720.0,496377.0,20500,7.86,7.7,True,"1-200"
53578149,"Penske Automotive Group","https://www.penskeautomotive.com",136,"Specialty Retailers","Retailing",20524.0,445.0,5287.0,27000,6.41,5.62,True,"1-200"
56444265,"Amgen","https://www.amgen.com",135,"Pharmaceuticals","Health Care",23362.0,7842.0,119571.5,23400,6.66,6.92,True,"1-200"
41298594,"Micron Technology","https://www.micron.com",134,"Semiconductors and Other Electronic Components","Technology",23406.0,6313.0,46778.5,37000,"","",True,"1-200"
