"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
35213362,"Mednax","https://www.mednax.com",691,"Health Care: Pharmacy and Other Services","Health Care","",True,"501-1000"
96533163,"Stifel Financial","https://www.stifel.com",690,"Securities","","",False,"501-1000"
91238059,"Carter's","https://www.carters.com",689,"Apparel","Apparel","",False,"501-1000"
31535227,"SVB Financial Group","https://www.svb.com",688,"Commercial Banks","","",False,"501-1000"
48364378,"Illumina","https://www.illumina.com",687,"Life Sciences Tools and Services","Technology","",True,"501-1000"
89840581,"Weis Markets","https://www.weismarkets.com",686,"Food and Drugstores","Food & Drug Stores","",False,"501-1000"
7357486,"Barnes & Noble","https://www.barnesandnobleinc.com",685,"Specialty Retailers: Other","Retailing","",True,"501-1000"
51796205,"Ciena","https://www.ciena.com",684,"Network and Other Communications Equipment","Technology","6.36",True,"501-1000"
5387017,"Albemarle","https://www.albemarle.com",683,"Chemicals","Chemicals","",False,"501-1000"
84743076,"American Water Works","https://www.amwater.com",682,"Miscellaneous","Energy","",True,"501-1000"
95430651,"Meredith","https://www.meredith.com",681,"Publishing, Printing","Media","",True,"501-1000"
54373807,"Lyft","https://ww.lyft.com",680,"Internet Services and Retailing","Technology","",True,"501-1000"
93918569,"Domino's Pizza","https://www.dominos.com/index.intl.html",679,"Food Services","Hotels, Restaurants & Leisure","",False,"501-1000"
22677375,"Abercrombie & Fitch","https://www.abercrombie.com",678,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
56443009,"BMC Stock Holdings","https://www.buildwithbmc.com",677,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
61513084,"Workday","https://www.workday.com",676,"Computer Software","Technology","6.76",True,"501-1000"
25445217,"Alliant Energy","https://www.alliantenergy.com",675,"Utilities: Gas and Electric","Energy","",True,"501-1000"
63309148,"MRC Global","https://www.mrcglobal.com",674,"Oil and Gas Equipment, Services","Energy","",True,"501-1000"
22891939,"Meritage Homes","https://www.meritagehomes.com",673,"Homebuilders","Engineering & Construction","",False,"501-1000"
61498896,"Hub Group","https://www.hubgroup.com",672,"Transportation and Logistics","Transportation","",True,"501-1000"
